ID,Song,Artist,Lyrics
ST001,The Intro,Stormzy,"What you're about to hear is material that has been written and recorded in 168 hours. Many believe an accomplishment of this stature is staged or over-exaggerated in some way, shape or form. To some, this may even be deemed impossible. However, opinions and views cannot dispute fact. 7 days, 1 week, 168 hours. 168, the mixtape You know what it is, yeah? It's not even the fact that I'm, that I'm underrated or, or the fact that I'm, I'm being slept on. It's the, it's the fact that people don't think I'm a threat, do you understand? People don't think that I'm, that I'm one to be, to be looked out for, one to be watched. And that's when it becomes a problem, that's when I have to rise up and become a problem, do you understand? Cause last year I put out some unprecedented shit. You know what I'm saying? So, but man can see me, and to know what I'm on, and man still want to sleep on me, I'm gonna have to, I'm gonna have to rise up and become a problem. I'm gonna have to kill everyone. That's what it basically is Look, I'm a fucking problem And these rappers just don't seem to comprehend And all these little niggas wanna hype up on the Twitter Then salute me when I buck and when they see me on the ends Hate when bruddas stalk me on my ones and try approach me like a dummy Then they crumble when they see me with my friends These rappers is pricks, I'm back on my shit, I carry my strip And see them dickheads, I will not feature with them They let the beast out of the pen, they let me out my cage I'm a [?] to the game, I will not speak of it again Went from grime to rap and nowadays I'm kinda back But sometimes I just feel to go and fucking cheat on it again Had to free the realness, come and tell me what the deal is And plus I fucking sick, illness is leaking out my pen Had the rap game sussed, was about to fucking buss But the condom split, I ain't beating it again So I missed him with the shot, but I caught him on the rebound Mic check, check 1-2, can I speak now? Lights out, knock a little nigga for the [?] [?] I like to play nice with my teeth out [?] from my conscience to my deep down He said it's on Michael, kill em all Michael Then I said ""OK, let the beast out"" I'm like that nigga Bane [?] See, I bring a lot of pain, I'm coming from the block They're saying Stormzy's in the way, someone come and stop But I'm a fucking problem, that's my fucking problem"
ST002,In For The Kill,Stormzy,"We can fight our desires, ooh But when we start making fires We get ever so hot, ooh Whether we like it or not They say we can love who we trust, ooh But what is love without lust Two hearts with accurate devotion, ooh What are feelings without emotions? I'm going in for the kill I'm doing it for a thrill Oh, I'm hoping you'll understand And not let go of my hand Jack played me the beat, I was gassed Then he asked ""what you gonna do when you rap to the tune?"" I said hold on, let me just spaz I'mma go mad, turn the whole thing up in my speaker Let me tear the whole ting down, fuck a feature Jumping around in my house, Cause he gotta calm down, take a breather Peng tings on the WhatsApp, peng tings on my BB too Fuckboys wanna see me lose, shine bright like RiRi's tune Still got an item in a rucksack, but now I've got CDs too Ayy, look fuckboy, be you, if you say you've done that then I must've, me too Wretch man if I'm 32 Still got love for my CDs too Wanna beef Gotta beef me too Wanna squeeze that Jack? Then I'm squeezing too Wanna speak and chat but you're beefing who? Beefing me? Niggas couldn't beef my crew They can't make a one decent tune Leave it, tell your boys leave it too I'm going in deep, going in real like Check 1-2, check 2 one time Got a few dons who love gun crime Got a few dons who run Go hard for my dons who ain't done time All of my dons hate that I'm unsigned Told em that it's soon my time Check 1-2, check 2 one time I make these rappers wanna retire Ooh, cause I just spit that nice fire I make these rappers wanna retire Ooh, cause I just spit that nice fire I make these rappers wanna retire Ooh, cause I just spit that nice fire"
ST003,Lay You Down,Stormzy,"I come through; she's sitting on my bed Pretty women in a dress but I'm trying to paint the scene like the image in my head She text me before saying what she really needs really can't be delivered in a text Said I'm letting off a trigger in her chest, she needs to see a nigga in the flesh So now I'm kissing on her neck, my fingers slide to the middle of her legs Then I creep inside and she shivers when I pressed, I free her mind and I'm killing her regrets I show how I differ from the rest and she wants more so I'm just fulfilling her request Wants an encore even when we finish we reset Put a rum board baby girl's giving it her best We're far gone, now don't go and ruin our escape Cause we're far from the city and you're way too pretty to be screwing up your face Cut all that mad shit that you talk, just put some mad shit in my thoughts Three rounds that's a hat-trick, oh my lord That girl must of practise on my course Got a mind and a [?], I watch her mind unfold She's riding me slow, with the lights down low Let me lay you down, let me make you smile Only one chance let me make it count Let me break it down I don't really know too much about your past But baby just shush, cause you already said that you wanna make it last Go and smoke that kush, I'll be right here, I'm here all day I like you too but I won't say it You can't tune out, ca I won't stay Tried to run game but you really won't play Let me lay you down Let me lay you down Let me lay you down Let me lay you down Let me lay you down Let me lay you down Let me lay you down"
ST004,Princess & The Bandit,Stormzy,"She said she's tired of my antics Came to her uni and I had a madness with one little dickhead on her campus Now I'm looking like a villain ca' I find it hard to fit in with the high life and the champers And I always fuck it up when I try and buckle up and then attempt to be romantic She's the princess, I'm the bandit She's the painting; I'm the canvas but this pictures not so pretty I'm just trying to understand this, could you tell me what the plan is Could you spare me with the pity? We're not speaking the same language But see all my problems vanish every single time you're with me So why should I be embarrassed when I bring you to my city? Baby welcome to my city"
ST005,Intro,Stormzy,"Look how far we've come Sitting on my car with [?] He told me that it's coming real soon Like one more bang and then I swear you're gone I said fuck that, man, you're coming up too What's a man like me without his right hand man? Cuh brudda you was there from the get-go I'mma help you anytime that I can Yeah I'mma help you anytime that you need me Just be right there anytime I stand Now I'll get the Porsches, Range and the Bentleys To come pick us up every time we land When them washed up dons tried to beef me Brudda you was there every time I banged I've had some real niggas feed me I swear man I'll never ever bite that hand Look nigga I was gassed when Skepta tweeted my tune Just the fact that he's seen my stuff Cause when you're coming from the bottom like me Little things like that, man, they mean so much When you're coming from the place I was raised up Everybody knows that the grind don't stop Just waiting for the day when [?] says let's buy a plane And I say ""yeah, fuck it, why not"" Now niggas wanna jump on the wave and I'm telling man straight Man, you weren't never part of the club I started ranting and raving And Flipz said don't even talk too much Flipz said remember the talks that we had on the roads And never lose sight of the dream I said yo brother, this is bigger than me now I need to provide for the team I need to give notes to my sisters I need to buy mumsy a fan And buy yards for the mandem I do this for Elias and Brandon So don't ever try tell me I'm selfish I do this shit for the ones that I love I do this for my bros cause they got me Yeah, I do this for the ones that I trust But nigga a change is coming Yeah that's way overdue cause mumsy's account was way overdrafted Yeah I've got so much to prove and there's so much to do But I know where I started And I know where I'm heading, yeah, look, I've got nothing to lose And I'm still out here grafting [?] has taught me a lesson, I told her I owe it to you cuh Boy, this shit's been a struggle ever since we were kids Coming home late, not even a penny to my name Wouldn't even bother looking in the fridge I ain't ever been the type of guy to complain You don't even ever me rapping 'bout pain Yeah man we've all got demons So I can't hold feelings, I just knuckle up and then I pray Just imagine if I didn't buss that case Just imagine if I caught bus that day Mum's life, I was in a rush that day Swear man I'll never lose trust and faith So sorry if I come across angry If I love you there's no need to fight me I'm just trying to be all that I can be I just hope I bring it home for the family"
ST006,Forever,Stormzy," OK, how can I describe this? Beauty at its finest You say you've been waiting for me to be your highness Now I'm yours for the taking, so let's make this timeless Forget those that are hating, you know they admired us, yeah Girl, you the baddest That's why I'll give you it the way you never had it You keep it real, hold it down, let me see you turn around Yeah, you got me in the zone right now  You've been on my mind Let's do this right Girl, take your time You're finally mine  Oh, let's make this last forever Forever, yeah Forever Forever Oh, let's make this last forever Yeah, forever, oh Forever Forever  Look, can we make this last forever, please? Your slim waist in those denim jeans will take care of my enemies So I pray, my aura and my energy Gets outshined by that Hennessy, still get it done, yeah, that's any means And that's faith, we had love, I turned cold and left you broken But you turned back cuh the love cuts deep and I let you breathe but you left me choking And we all know that you had my soul when I had yours too but I still weren't coping Feel like Frank would, fuel in my tank, got one more mile to the ocean Then you come along but the summer's gone and this thing might take some time All those summer songs and those Jägerbombs and that day when I made you mine You're not blessed but you say you're fine, I could swear that's your favourite line All that I need and you're all that I see, let me help you breathe, let me save your life You get caught in a whirl when you talk to your girls and they say that I'm bad news You get wrapped in their words and it actually hurts cause we both know that's not true Girl, this love is ours and it's no one else's, it's time that we both take charge If we get it right then we'll never die, I just hope we can make it last, yo  Oh, let's make this last forever Forever, yeah Forever Forever Oh, let's make this last forever Yeah, forever, oh Forever Forever  Yo, can we make this last forever? Can we make the world spin slow? Let's work it out till it's better I would never let this love grow, then you say never say never And you kept me warm in the snow, with your tush as light as a feather You said I was close to killing us both, we both know love's so painful You came in my life and you made it alright and for that, man, I'm so grateful Girl, this love is ours and it's no one else's and you need me to survive You can light the way or return the flame, I just hope we can keep it alight, yo  Forever Forever Oh, let's make this last forever Forever Forever Forever Oh, let's make this last forever"
ST007,Not That Deep,Stormzy,"Walk in the rave with a smile on my face Yeah man I got a few racks on me Worm came through, don't ask what you pay Tell man straight that a strap's not cheap Light up my set then I'm out of the rave Waiting around, nah that's not me I got caught in the club with a slut Tell my girl that it's not that deep I'm not the one you can move to I only lack when I choose to Up in my car, connect my phone to my bluetooth This ain't the flow that they used to Get stopped on the road like rah My mans hard, swear my man's off of YouTube? Come from below, then I blow like I'm due to Nigga fuck your voodoo Jakes move dark in the Vectras Make prof that's after the extras Still tryna put my Marge in a Lexus What's the point? Don't ask who the best is, hashtag problem! Whip up the rock like I'm Austin The man with the options, know a wasteman when I spot them Park off the whip like, yeah man we lost them Getting money in, it's often Still got bare grown men all scared of the kid Can't lie it's been a good year for the kid Your postcode don't make you a gangster, you're not bad your area is Fifth gear but it's six gears on the stick You blowing up this year is a myth We've got ten man chasing a dream, you've got ten man sharing a spliff, like Wind me up yeah I'm raring to flip Washed dons can't bear when I spit Ride for my friend, yeah I don't care who it is, tell man be careful you div Beef with the champ, my man pulled out a shank, how you gonna scare me with this? Nah really, how you gonna scare me with this? My bro stabbed me in my back Ask Swift what I do about that He said Ak, brother don't talk just attack Came to the all white ting in all black Jumped on the mic with Jabba and Tash Check one two check , nigga I'm gassed Mandem roll through, yeah nigga I'm back! [Hook] A rapper try come for my throne Ask Flipz should I kill them or no? He said ""yo, brother don't talk just blow"" 10 car convoy to my last show Spliff in the club, what d'you mean I can't smoke? Drink in my cup, what d'you mean I can't cope? Bun down the dance then I send man home You can check my bros Some of them buss gun, some of them go uni Some of them go church on a Sunday, some of them mash work with a uzi But none of my mandem are fruity Yeah most of my mandem are unruly Man are dishing out threats, putting money on my head Then they see me on the roads then they screw me How can I be scared? Big man like me with a beard I buss two two jokes in my vids, now they think I'm a prick, little nigga beware Swear that nigga turned bad last year? Fuck your tape, nigga we don't care Stormzy's whack yeah? I swear I've been grinding, oh well nigga life ain't fair Yeah man know what it is when I'm out on the strip, with Flipz when I'm sliding through I'll take the piss, slap mans chicken and chips and your pissed if I like your food Smoke with Dee, he said, ""yeah man it's peak the rap scene now relies on you"" He said ""you know I'm not lying, it's true"" I was like ""where's my Fire in the Booth?"" Check my stacks, I was that boy in the corner, little black boy with the strap D's in the trap, putting down a brick into quarters, nigga get corned for your chat All for the racks, banging out ""Private Caller"", take a little more of my 'nac It's mad, man can't text me again Tryna make dark skin sexy again Word, see me on the road with my bros, feds can't make man talk Never had a whip, never had Ps for a cab, couple man made me walk Then I hit a lick, gave man food on the tick, couple man paid me short Caught him in West, he was tryna buy some creps, beat him up in JD Sports I laid his corpse, rude boy lower your tone Couple pagans try follow me home Said ""Yo Merms, can I borrow your phone?"" G, come link me at the end of my road I just do my thing, I just chill, I don't really make no fuss My Gs them tell man cool, get that done, rudeboy leave it to us"
ST008,Dreamers Disease,Stormzy,"I don't even smoke no more but somehow I stay high I don't even smoke no more but somehow I stay high I don't even smoke no more but somehow I stay high I don't even smoke no more Look, I don't even smoke no more but somehow I stay high Quit my job, mum bugged out, made my choice, this is my life And I swear down I can't do this alone, may the dear lord be my guide We've done some things, wouldn't even know where to begin but the dear lord knows we tried, so it's alright Look, I don't even smoke no more but somehow I stay high Quit my job, mum bugged out, made my choice, this is my life And I swear down I can't do this alone, may the dear lord be my guide We've done some things, wouldn't even know where to begin but the dear lord knows we tried, so it's alright Like, where do I start? Most of these man weren't here from the start Stay for the sun, disappear in the dark Stay clued up and stay clear of the sharks Shoutout [?] who was there in the park Said this year man are clearing the charts All these girls shed tears on my heart Tryna find one that don't care for my past Still no bites, just bearing em bark That's why I'm still not hearing em talk When I hit a lick then I share it with Mark I'mma be the one take care of my dargs Summer '010 was there in my yard Them times there, yeah, my hearing was hard Snakes in the clique, there was bare in the grass Can I get the mic, man? I'm raring to start Heart's too big and it beats too loud Jump on the stage, go and do me proud Don't you ever let em see you down Don't you ever let em take your crown Give a fuck if they're easily pleased Thank God I've got a reason to breathe Suddenly I get weak on my knees Think I've got the dreamer's disease And this shit's gonna kill me Yeah, this shit's gonna kill me Damn Yeah, this shit's gonna kill me All these sleepless nights and these cheap-arse flights It's mad, my nigga, do you feel me? Been through a lot but I'm sure that I'm still me Well, maybe I'm not but it comes with a cost I just hope it's the real me I can't wait till they six-figure deal me Dreamer's disease, man, I think that I caught it Sold me the dream and I went and I bought it I can't even afford it Should've payed safe, put it straight to my mortgage It's too late now, can't-can't turn back Time's one thing that you can't turn back So please listen to the words I rap There's been vision every verse I spat Heart's too big and it beats too loud Don't you ever let em see you down Don't you ever let em see you down Don't you ever let em see you down They say that we dream too big They say that we've lost our minds They say we've got the dreamer's disease And I tell em that keeps me alive If I fall before I fly I just pray my dreams can save me, if I lose it all before I die If I fall before I fly I just pray my dreams can save me, if I lose it all before I die (Yeah, I think we got the dreamer's disease)"
ST009,Storm Trooper,Stormzy,"Who's gonna catch me when I fall? Who's gonna comfort me? Tell me, who's gonna comfort me When my back's against the wall? I believed in promises before And now I just need me a little more Got my city on my back, girl, I'm a Stormtrooper Ayy, if you ever feel under attack, I'll be your Stormtrooper You need somewhere that you can relax, I'll open my door to ya Me and you against the world, let's go to war Girl, I'll help you through the storm Ayy, I'll be your Stormtrooper I'll be your Stormtrooper I think I need some intervention I think you got the wrong impression I need a hand to help me count my blessings You always told me I ain't learnt my lesson But ooh baby, baby, tell me why you keep on stressing Girl, you ain't gotta stress no more Ooh baby, can you feel my presence? Girl, you ain't gotta stress no more I'll be your Stormtrooper I'll hold your hand for you Don't let me hear that nigga put his hands on you Girl, you gon' make me rise up, make me cancel all my plans for you And if you can't stand up to him, just phone my phone cause I'll make that stand for you How dare he, how dare he, tell him try that shit on me Tell him try and pick on me, when I heard that news, man, it made me freeze And I said forget all this, but how did it get like this? Cuh girl, you were strong for me when I was awful weak And I'm stressed and shit and I'm bugging out You gave me all that I needed And you helped me fight all my demons That day when you held me tight when I was bleeding I told you ""wake me up if I'm dreaming"", you said ""babe, just keep on breathing"" I feel like I owe you this, and you just act like this is cool And let him take you for some fool, with your back against the wall Girl, I can't watch this shit, cuh when you're hurting and I'm hurting And your burdens are my burdens, I'll grab a rope if that bridge is burning Just let me help, just let me save you like how you helped me to save myself Let me repay you and girl, you know that I'll do my best To see you stable, put that halo back up on your head My fallen angel, all the times you could've walked and left Feel that I'm grateful, girl, all of the crazy things I said That shit's disgraceful If I could take it back, I'd give it all to ya, bring the world plus more to ya All the stuff that I swore to ya, yours truly, your Stormtrooper I think I need some intervention I think you got the wrong impression I need a hand to help me count my blessings You always told me I ain't learnt my lesson, but ooh baby Who's gonna catch me when I fall? Who's gonna comfort me? Tell me, who's gonna comfort me When my back's against the wall? I believed in promises before And now I just need me a little more Got my city on my back, girl, I'm a Stormtrooper Ayy, if you ever feel under attack, I'll be your Stormtrooper You need somewhere that you can relax, I'll open my door to ya Me and you against the world, let's go to war Girl, I'll help you through the storm Ayy, I'll be your Stormtrooper I'll be your Stormtrooper"
ST010,First Things First,Stormzy,"Like, alright, first things first, I've been putting in the work I'm a rebel with a cause (with a cause) Had problems with the fam I had problems with the gang But I put that shit on pause (put that shit on pause) I've been gone for a while but I saw you niggas smile When I cancelled all my tours (little pussies) Someone tell 'em that I'm back I don't never ever slack, grab my gun and go to war (boy) I got brothers up in jail, going mad up in their cells When you hear me, bang your doors (bang your doors) Niggas moving chatty, someone tell them that I'm scatty Bro, I'll pull up uninsured like (skkkkkrrr) Running through my strip, rappers jumping on my dick Just to build up a rapport (it's embarrassing) I can tell them man are bitter But they're begging it on Twitter, man, I swear I'm so appalled Before he takes a shot, I'll shoot him first (shoot him first) And poor mum, we was going through her purse (through her purse) We were doing road and doing church Looked the devil in his face like motherfucker, do your worst Still here tryna' find another blessing I'm over-loyal man I'll ride for what I'm repping Dark times niggas dying in recession You was fighting with your girl when I was fighting my depression, wait Okay Alright, first things first, coulda put you in a hearse Man, I gave you boys a lifeline (lifeline) I was scrolling through my tweets, had Adele up on repeat And saw a madness on my timeline (on my timeline) LBC's tryna' black ball me And tryna' blame your boy for knife crime (like what?) I don't use a shank, I got money in the bank Man, I'd rather do a drive by (dickheads) Mad, mad demons in my thoughts Young Stormz wasn't ready for the limelight (he wasn't ready) Took a little break from the game, started praying Man, I had to get my mind right (started praying) All black clothes till I shine bright Full beams fucking up my eyesight They hate me on the sly But I bet you if I died, you would see em at my night night (fake youts) They asking if I'm real, I'm real enough ('nough) Still got a couple killers in the cut (cut) If he's coming nice I big him up, drugs kill But my niggas make a killing off a drug (aye) Rapping like I'm jigga but I'm puff (puff) Westend wanna show a nigga love (love) But if it weren't me you would never let my niggas in the club Fuck DSTRKT and fuck all these nightclubs And fuck giving money to people that don't like us There's riots in the city just tell me where I sign up The rave goes silly every time I pick the mic up (whoa) I got smoke, you can hold a bit A coloured brother with a bone to pick But I still get to gunning, don't be running when I bang mine Before we said our prayers, there was gang signs (gang signs)"
