ID,Song,Artist,Lyrics
SP001,God Save the Queen,Sex Pistols,"God save the queen The fascist regime They made you a moron Potential H-bomb God save the queen She ain't no human being There is no future In England's dreaming Don't be told what you want Don't be told what you need There's no future, no future, No future for you God save the queen We mean it man We love our queen God saves God save the queen 'Cause tourists are money And our figurehead Is not what she seems Oh God save history God save your mad parade Oh Lord God have mercy All crimes are paid When there's no future How can there be sin We're the flowers in the dustbin We're the poison in your human machine We're the future, your future God save the queen We mean it man We love our queen God saves God save the queen We mean it man And there is no future In England's dreaming No future, no future, No future for you No future, no future, No future for me No future, no future, No future for you No future, no future For you"
SP002,Holidays In The Sun,Sex Pistols,Cheap holiday in other peoples misery I don't wanna holiday in the sun I wanna go to the new Belsen I wanna see some history Cause now I got a reasonable economy Now I got a reason Now I got a reason Now I got a reason and I'm still waiting Now I got a reason Now I got reason to be waiting The Berlin wall In sensurround sound in a two inch wall I was waiting for the communist call I didn't ask for sunshine and I got World War three I'm looking over the wall and they're looking at me Now I got a reason Now I got a reason Now I got a reason and I'm still waiting Now I got a reason Now I got a reason to be waiting The Berlin wall They're staring all night And they're staring all day I had no reason to be here at all And now I got a reason It's no real reason And I'm waiting The Berlin wall I got to go over the Berlin wall I don't understand this thing at all I'm gonna go over the Berlin wall I'm gonna go over the Berlin wall I'm gonna go over the Berlin wall Claustrophobia there's too much paranoia There's too many closets So when will we fall And now I gotta reason It's no real reason to be waiting The Berlin wall I got to go over the wall I don't understand this thing at all This third rate B movie show Cheap dialogue Cheap essential scenery I got to go over the wall I wanna go over the Berlin wall Before they come over the Berlin wall I don't understand this thing at all I'm gonna go over the wall I wanna go over the Berlin wall I'm gonna go over the Berlin wall Before they come over the Berlin wall I don't understand this thing at all Please don't be waiting for me
SP003,Bodies,Sex Pistols,"She was a girl from Birmingham She just had an abortion She was case of insanity Her name was Pauline, she lived in a tree She was a no one who killed her baby She sent her letters from the country She was an animal She was a bloody disgrace Body I'm not an animal Body I'm not an animal Dragged on a table in factory Illegitimate place to be In a packet in a lavatory Die little baby screaming Body screaming fucking bloody mess Not an animal It's an abortion Body I'm not animal Mummy I'm not an abortion Throbbing squirm, gurgling bloody mess I'm not a discharge I'm not a loss in protein I'm not a throbbing squirm Fuck this and fuck that Fuck it all and fuck a fucking brat She don't wanna baby that looks like that I don't wanna baby that looks like that Body, I'm not an animal Body, an abortion Body I'm not an animal Body I'm not an animal An animal I'm not an animal I'm not an abortion Mummy UGH"
SP004,No Feelings,Sex Pistols,"I've seen you in the mirror when the story began And I fell in love with you I love your mortal sin Your brains are locked away but I love your company I only ever leave you when you got no money I got no emotions for anybody else You better understand I'm in love with myself, Myself, my beautiful self A no feelings A no feelings A no feelings For anybody else Hello and goodbye in a run around sue You follow me around like a pretty pot of glue I kick you in the head you got nothing to say Get out of the way 'cause I gotta get away You never realize I take the piss out of you You come up and see me and I'll beat you black and blue One day I'll send you away I got no feelings A no feelings A no feelings For anybody else Except for myself, my beautiful selfish There ain't no moonlight after midnight I see you silly people out looking for delight Well I'm so happy I'm feeling so fine I'm watching all the rubbish, you're wasting my time I look around your house, you got nothing to steal I kick you in the brains when you get down to kneel And pray, you pray to your god No feelings A no feelings A no feelings For anybody else A no feelings A no feelings A no feelings For anybody else Except for myself Your daddy's gone away Be back another day See his picture hanging on your wall"
SP005,Liar,Sex Pistols,"Lie lie lie lie liar you lie lie lie lie Tell me why tell me why Why d'you have to lie Should've realised that you Should've told the truth Should've realised You know what I'll do You're in suspension You're a liar Now I wanna know Now I wanna know Why you never look me in the face Broke a confidence just to please your ego Should've realised You know what I know You're in suspension You're a liar I know where you go everybody you know I know everything that you do or say So when you tell lies I'll always be in your way I'm nobody's fool and I know all 'Cos I know what I know You're in suspension You're a liar You're a liar You're a liar Lie lie lie lie lie lie lie lie Lie lie lie lie liar you lie lie lie lie I think you're funny, you're funny ha ha I don't need it don't need your blah blah Should've realised I know what you are You're in suspension You're in suspension You're in suspension You're a liar You're a liar You're a liar Lie lie"
SP006,Problems,Sex Pistols,"Too many problems Oh why am I here I need to be me 'Cos you're all too clear And I can see There's something wrong with you But what do you expect me to do? At least I gotta know what I wanna be Don't come to me if you need pity Are you lonely you got no one You get your body in suspension That's no problem, problem Problem, the problem is you Eat your heart out on a plastic tray You don't do what you want Then you'll fade away You won't find me working Nine to five It's too much fun a being alive I'm using my feet for my human machine You won't find me living for the screen Are you lonely all your needs catered You got your brains dehydrated Problem, problem Problem, the problem is you What you gonna do Problem, problem Problem, problem Problem, the problem is you What you gonna do with your problem The problem is you Problem I ain't equipment, I ain't automatic You won't find me just staying static Don't you give me any orders For people like me There is no order Bet you thought you had it all worked out Bet you thought you knew what I was about Bet you thought you'd solved all your problems But you are the problem Problem, problem Problem, the problem is you What you gonna do with your problem I'll leave it to you Problem, the problem is you You got a problem What you gonna do They know a doctor Gonna take you away They take you away And throw away the key They don't want you And they don't want me You got a problem The problem is you Problem, what you gonna do Problem, I'll leave it back, I have a Problem, you got a problem Problem, problem, Problem, problem, Problem, problem, Problem, problem, Problem, problem, Problem, problem, Problem, problem, Problem Problem, problem, Problem"
SP007,Seventeen,Sex Pistols,"You're only 29 Got a lot to learn But when your mummy dies She will not return We like noise, it's our choice It's what we wanna do We don't care about long hairs I don't wear flares See my face not a trace No reality I don't work, I just speed That's all I need I'm a lazy sod, I'm lazy sod I'm a lazy sod, I'm so lazy I'm a lazy sod, I'm lazy sod I'm a lazy sod, I'm so lazy I can't even be bothered Lazy Lazy"
SP008,Anarchy In The U.K.,Sex Pistols,Right Now ha ha ha ha ha I am an antichrist I am an anarchist Don't know what I want But I know how to get it I wanna destroy passer by Cause I Wanna be Anarchy No dogs body Anarchy for the UK It's coming sometime and maybe I give a wrong time stop at traffic line Your future dream is a shopping scheme Cause I I wanna be Anarchy In the city How many ways to get what you want I use the best I use the rest I use the enemy I use anarchy Cause I Wanna be Anarchy It's the only way to be Is this the M.P.L.A Or is this the U.D.A Or is this the I.R.A I thought it was the UK Or just Another Country Another council tenancy I wanna be Anarchy And I wanna be Anarchy Know what I mean And I wanna be Anarchist Get pissed Destroy
SP009,Sub-Mission,Sex Pistols,I'm on a submarine mission for you baby I feel the way you were going I picked you up on my tv screen I feel your undercurrent flowing Submission going down down Dragging me down submission I can't tell ya what I've found You've got me pretty deep baby I can't figure out your watery love I gotta solve your mystery You're sitting it out in heaven above Submission going down down Dragging me down submission I can't tell you what I've found For there's a mystery Under the sea in the water Come and share it Submission going down down Dragging me down submission I can't tell ya what I've found 'Cause it's a secret Under the water in the sea Octopus Rock Got me pretty deep baby I can't figure out your watery love I gotta solve your mystery You're sitting it out in heaven above Submission going down down Dragging me down submission I can't tell ya what I've found Submission Submission Going down down under the sea I wanna drown drown under the water Going down down under the sea
SP010,Pretty Vacant,Sex Pistols,"There's no point in asking, you'll get no reply Oh just remember I don't decide I got no reason it's all too much You'll always find us out to lunch Oh we're so pretty Oh so pretty we're vacant Oh we're so pretty Oh so pretty A vacant Don't ask us to attend 'cos we're not all there Oh don't pretend 'cos I don't care I don't believe illusions 'cos too much is real So stop you're cheap comment 'cos we know what we feel Oh we're so pretty Oh so pretty we're vacant Oh we're so pretty Oh so pretty we're vacant ah But now and we don't care There's no point in asking you'll get no reply Oh just remember a don't decide I got no reason it's all too much You'll always find me out to lunch We're out on lunch Oh we're so pretty Oh so pretty we're vacant Oh we're so pretty Oh so pretty we're vacant Oh we're so pretty Oh so pretty ah But now and we don't care We're pretty A pretty vacant We're pretty A pretty vacant We're pretty A pretty vacant We're pretty A pretty vacant And we don't care"
